'sample interval','RESP'
'0.008 sec','pm'
1350,0.699
1351,0.731
1352,0.763
1353,0.790
1354,0.817
1355,0.831
1356,0.846
1357,0.853
1358,0.858
1359,0.858
1360,0.856
1361,0.848
1362,0.839
1363,0.819
1364,0.800
1365,0.773
1366,0.746
1367,0.716
1368,0.687
1369,0.658
1370,0.628
1371,0.594
1372,0.562
1373,0.526
1374,0.489
1375,0.455
1376,0.418
1377,0.386
1378,0.352
1379,0.323
1380,0.293
1381,0.269
1382,0.244
1383,0.222
1384,0.200
1385,0.181
1386,0.159
1387,0.144
1388,0.127
1389,0.115
1390,0.100
1391,0.088
1392,0.078
1393,0.068
1394,0.059
1395,0.049
1396,0.039
1397,0.027
1398,0.017
1399,0.010
1400,0.000
1401,-0.007
1402,-0.017
1403,-0.027
1404,-0.034
1405,-0.046
1406,-0.056
1407,-0.066
1408,-0.076
1409,-0.083
1410,-0.093
1411,-0.103
1412,-0.110
1413,-0.120
1414,-0.130
1415,-0.139
1416,-0.147
1417,-0.154
1418,-0.161
1419,-0.166
1420,-0.171
1421,-0.174
1422,-0.178
1423,-0.178
1424,-0.178
1425,-0.178
1426,-0.176
1427,-0.174
1428,-0.169
1429,-0.164
1430,-0.159
1431,-0.147
1432,-0.134
1433,-0.120
1434,-0.103
1435,-0.078
1436,-0.054
1437,-0.022
1438,0.007
1439,0.037
1440,0.068
1441,0.100
1442,0.134
1443,0.174
1444,0.213
1445,0.259
1446,0.303
1447,0.350
1448,0.394
1449,0.438
1450,0.482
1451,0.533
1452,0.582
1453,0.638
1454,0.694
1455,0.753
1456,0.809
1457,0.868
1458,0.924
1459,0.976
1460,1.024
1461,1.068
1462,1.112
1463,1.149
1464,1.188
1465,1.222
1466,1.257
1467,1.284
1468,1.311
1469,1.330
1470,1.352
1471,1.364
1472,1.379
1473,1.386
1474,1.394
1475,1.394
1476,1.391
1477,1.386
1478,1.379
1479,1.369
1480,1.359
1481,1.345
1482,1.333
1483,1.311
1484,1.289
1485,1.262
1486,1.232
1487,1.203
1488,1.174
1489,1.144
1490,1.115
1491,1.081
1492,1.046
1493,1.007
1494,0.971
1495,0.932
1496,0.892
1497,0.856
1498,0.817
1499,0.782
1500,0.748
1501,0.719
1502,0.687
1503,0.658
1504,0.628
1505,0.599
1506,0.570
1507,0.543
1508,0.516
1509,0.491
1510,0.467
1511,0.443
1512,0.418
1513,0.394
1514,0.369
1515,0.345
1516,0.320
1517,0.298
1518,0.274
1519,0.252
1520,0.232
1521,0.215
1522,0.198
1523,0.181
1524,0.164
1525,0.147
1526,0.132
1527,0.117
1528,0.103
1529,0.090
1530,0.076
1531,0.064
1532,0.051
1533,0.039
1534,0.029
1535,0.017
1536,0.007
1537,-0.002
1538,-0.012
1539,-0.022
1540,-0.029
1541,-0.037
1542,-0.044
1543,-0.046
1544,-0.051
1545,-0.054
1546,-0.056
1547,-0.056
1548,-0.056
1549,-0.054
1550,-0.051
1551,-0.046
1552,-0.042
1553,-0.034
1554,-0.024
1555,-0.010
1556,0.002
1557,0.022
1558,0.042
1559,0.061
1560,0.081
1561,0.103
1562,0.125
1563,0.154
1564,0.181
1565,0.215
1566,0.249
1567,0.281
1568,0.313
1569,0.345
1570,0.377
